model,ort_version,numpy,threads,bitwise_identical,canonical_hash,latency_ms_mean
reg_svr,1.18.0,1.26.4,4,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,371.979
scaler,1.18.0,1.26.4,1,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,1.171
scaler,1.18.0,1.26.4,2,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,0.634
scaler,1.18.0,1.26.4,4,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,0.456
clf_gb_clf,1.19.2,2.5.1,1,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.556
clf_gb_clf,1.19.2,2.5.1,2,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.316
clf_gb_clf,1.19.2,2.5.1,4,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.194
clf_rf_clf,1.19.2,2.5.1,1,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,1.065
clf_rf_clf,1.19.2,2.5.1,2,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,0.626
clf_rf_clf,1.19.2,2.5.1,4,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,0.345
clf_svc,1.19.2,2.5.1,1,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,222.807
clf_svc,1.19.2,2.5.1,2,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,222.561
clf_svc,1.19.2,2.5.1,4,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,223.18
reg_gradient_boosting,1.19.2,2.5.1,1,True,d1b666d94815101464219f29e0ec5dc25f5c551b0a9aaa318a6f5f475555ec15,0.221
reg_gradient_boosting,1.19.2,2.5.1,2,True,9eed58f74e38e71430a2baa81fe3cd0344f767234d5ab7c64274e1491a86e2c1,0.166
reg_gradient_boosting,1.19.2,2.5.1,4,True,d4a62df077bccd29fd244b1899c2cf6f2f35dee7582d4738485806b603a87178,0.105
reg_random_forest,1.19.2,2.5.1,1,True,55ffe003aa1118fb7d71164607d2ced799597ff1762288b720b102b367755bad,1.428
reg_random_forest,1.19.2,2.5.1,2,True,3c79dd777f5ca60a201a3f64e20e8d1c981f64f7eef6b182ace18505eeb2dbf2,0.761
reg_random_forest,1.19.2,2.5.1,4,True,b1d3632fe0f9ce9f97b74ed2a3ade3f0f12c4017565b8ce48f2df25b07ea5701,0.404
reg_svr,1.19.2,2.5.1,1,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,363.12
reg_svr,1.19.2,2.5.1,2,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,363.553
reg_svr,1.19.2,2.5.1,4,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,364.181
scaler,1.19.2,2.5.1,1,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,1.087
scaler,1.19.2,2.5.1,2,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,0.599
scaler,1.19.2,2.5.1,4,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,0.311
clf_gb_clf,1.20.1,2.5.1,1,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.524
clf_gb_clf,1.20.1,2.5.1,2,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.316
clf_gb_clf,1.20.1,2.5.1,4,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.194
clf_rf_clf,1.20.1,2.5.1,1,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,1.093
clf_rf_clf,1.20.1,2.5.1,2,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,0.608
clf_rf_clf,1.20.1,2.5.1,4,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,0.346
clf_svc,1.20.1,2.5.1,1,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,222.594
clf_svc,1.20.1,2.5.1,2,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,235.222
clf_svc,1.20.1,2.5.1,4,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,223.403
reg_gradient_boosting,1.20.1,2.5.1,1,True,d1b666d94815101464219f29e0ec5dc25f5c551b0a9aaa318a6f5f475555ec15,0.229
reg_gradient_boosting,1.20.1,2.5.1,2,True,9eed58f74e38e71430a2baa81fe3cd0344f767234d5ab7c64274e1491a86e2c1,0.17
reg_gradient_boosting,1.20.1,2.5.1,4,True,d4a62df077bccd29fd244b1899c2cf6f2f35dee7582d4738485806b603a87178,0.107
reg_random_forest,1.20.1,2.5.1,1,True,55ffe003aa1118fb7d71164607d2ced799597ff1762288b720b102b367755bad,1.406
reg_random_forest,1.20.1,2.5.1,2,True,3c79dd777f5ca60a201a3f64e20e8d1c981f64f7eef6b182ace18505eeb2dbf2,0.767
reg_random_forest,1.20.1,2.5.1,4,True,b1d3632fe0f9ce9f97b74ed2a3ade3f0f12c4017565b8ce48f2df25b07ea5701,0.397
reg_svr,1.20.1,2.5.1,1,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,361.357
reg_svr,1.20.1,2.5.1,2,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,363.271
reg_svr,1.20.1,2.5.1,4,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,363.212
scaler,1.20.1,2.5.1,1,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,1.087
scaler,1.20.1,2.5.1,2,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,0.581
scaler,1.20.1,2.5.1,4,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,0.37
clf_gb_clf,1.22.0,2.5.1,1,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.518
clf_gb_clf,1.22.0,2.5.1,2,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.324
clf_gb_clf,1.22.0,2.5.1,4,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.207
clf_rf_clf,1.22.0,2.5.1,1,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,1.064
clf_rf_clf,1.22.0,2.5.1,2,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,0.613
clf_rf_clf,1.22.0,2.5.1,4,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,0.343
clf_svc,1.22.0,2.5.1,1,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,218.852
clf_svc,1.22.0,2.5.1,2,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,216.25
clf_svc,1.22.0,2.5.1,4,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,215.502
reg_gradient_boosting,1.22.0,2.5.1,1,True,d1b666d94815101464219f29e0ec5dc25f5c551b0a9aaa318a6f5f475555ec15,0.222
reg_gradient_boosting,1.22.0,2.5.1,2,True,9eed58f74e38e71430a2baa81fe3cd0344f767234d5ab7c64274e1491a86e2c1,0.16
reg_gradient_boosting,1.22.0,2.5.1,4,True,d4a62df077bccd29fd244b1899c2cf6f2f35dee7582d4738485806b603a87178,0.103
reg_random_forest,1.22.0,2.5.1,1,True,55ffe003aa1118fb7d71164607d2ced799597ff1762288b720b102b367755bad,1.354
reg_random_forest,1.22.0,2.5.1,2,True,3c79dd777f5ca60a201a3f64e20e8d1c981f64f7eef6b182ace18505eeb2dbf2,0.743
reg_random_forest,1.22.0,2.5.1,4,True,b1d3632fe0f9ce9f97b74ed2a3ade3f0f12c4017565b8ce48f2df25b07ea5701,0.401
reg_svr,1.22.0,2.5.1,1,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,357.37
reg_svr,1.22.0,2.5.1,2,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,357.025
reg_svr,1.22.0,2.5.1,4,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,358.81
scaler,1.22.0,2.5.1,1,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,1.089
scaler,1.22.0,2.5.1,2,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,0.563
scaler,1.22.0,2.5.1,4,True,482d3916b942fd78bab4077e69aeef9c08744c1f80862e7221389eeba5dbe4f4,0.365
