molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
"3-(1-(2,4-dihydroxyphenyl)-3,3-bis(4-hydroxyphenyl)-1-oxopropan-2- yl)-7-methoxy-4H-chromone-4-one",COc1ccc2c(c1)c(=O)c(co2)C(C(=O)c1ccc(cc1O)O)C(c1ccc(cc1)O)c1ccc(cc1)O,default,5.3799,success,-4.29,,success,0.2579916666666667,524.53,5.42,4,8,137.43,7,2,-6.77,success
"2',4'-dihydroxychalcone-(4-O-5''')-4'',2''',4'''-trihydroxychalcone",Oc1ccc(cc1)/C=C/C(=O)c1cc(Oc2ccc(cc2)/C=C/C(=O)c2ccc(cc2O)O)c(cc1O)O,default,5.7867,success,-4.41,,success,0.29589166666666666,510.5,5.8,5,8,144.52,8,2,-6.28,success
"3-((Z)-heptadec-13- enyl) benzene-1,2-diol",CCC/C=C\CCCCCCCCCCCCc1cccc(c1O)O,default,4.8854,success,-6.64,,success,0.29511666666666664,346.55,7.29,2,2,40.46,15,1,-7.85,success
6-pentadecylsalicylic acid,CCCCCCCCCCCCCCCc1cccc(c1C(=O)O)O,default,4.6509,success,-7.37,,success,0.29990833333333333,348.53,6.72,2,2,57.53,15,1,-8.09,success
ancistrocladidine,COc1cc2C[C@H](C)N=C(c2c(c1c1c(C)cc2c(c1O)c(OC)ccc2)OC)C,default,5.831,success,-6.95,,success,0.38425000000000004,405.49,5.3,1,5,60.28,4,1,-9.0,success
ancistrotectorine,COc1cc2C[C@H](C)N([C@@H](c2c(c1c1c(C)cc2c(c1O)c(OC)ccc2)OC)C)C,default,5.832,success,-7.12,,success,0.39,421.54,5.48,1,5,51.16,4,1,-8.99,success
"(-)-(R)-dihydro-2',3'-epoxyasteranthine",CC1(C)C=Cc2c(O1)c1[nH]cc(c1cc2)C[C@H]1OC1(C)C,default,5.5401,success,-9.14,,success,0.43300833333333333,283.37,4.07,1,2,37.55,2,0,-10.26,success
ancistrotanzanine C,COc1c2c(C[C@@H](N([C@@H]2C)C)C)cc(c1c1c(C)cc2c(c1O)c(OC)ccc2)O,default,5.9959,success,-6.56,,success,0.3849916666666666,407.51,5.18,2,5,62.16,3,1,-9.07,success
6-O-methylancistrocladinine,COc1cc(OC)c2c(c1c1c(C)cc(c3c1cccc3OC)OC)C[C@@H](N=C2C)C,default,5.8532,success,-5.95,,success,0.3527666666666667,419.52,5.6,0,5,49.28,5,1,-8.79,success
"O,N-dimethylancistrocladine",COc1cc(OC)c2c(c1c1c(C)cc(c3c1cccc3OC)OC)C[C@@H](N([C@H]2C)C)C,default,5.8559,success,-5.54,,success,0.339325,435.56,5.79,0,5,40.16,5,1,-8.68,success
droserone,CC1=C(O)c2cccc(c2C(=O)C1=O)O,default,4.979,success,-8.88,,success,0.3775833333333334,204.18,1.45,2,4,74.6,0,0,-9.94,success
ancistrobertsonine A,COc1cc(O)c(c2c1[C@H](C)N(C)[C@H](C2)C)c1ccc(c2c1cc(C)cc2OC)OC,default,5.9248,success,-6.75,,success,0.3854,421.54,5.48,1,5,51.16,4,1,-8.99,success
