operation,time
screen_times,8.36383799999021
screen_times,5.890109000029042
screen_times,6.0923890999984
screen_times,6.012904200004414
screen_times,6.535218700009864
screen_times,6.070416899980046
screen_times,6.325534999952652
screen_times,6.173835000023246
screen_times,5.938099099963438
screen_times,5.928152700013015
batch_times,7.552954499959014
blockchain_times,0.4446141719818115
blockchain_times,1.0908634662628174
blockchain_times,2.0340726375579834
blockchain_times,2.2918601036071777
blockchain_times,0.6655950546264648
blockchain_times,2.075989007949829
blockchain_times,2.455559253692627
blockchain_times,0.4200770854949951
blockchain_times,2.09701943397522
blockchain_times,1.94166898727417
