molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,default,4.6609,success,-8.26,,success,0.3304083333333333,206.28,3.07,1,1,37.3,4,0,-10.28,success
paracetamol,CC(=O)NC1=CC=C(C=C1)O,default,5.6113,success,-8.16,,success,0.40627500000000005,151.16,1.35,2,2,49.33,1,0,-9.89,success
