N,ed25519_write_ms_per_rec,ed25519_verify_ms_per_rec,cid_write_ms_per_rec,cid_verify_ms_per_rec,merkle_root_ms_per_rec,merkle_proof_len,merkle_verify_one_ms
10,0.05624000004900154,0.11355999995430466,0.007410000034724362,0.007620000178576447,0.0013100001524435356,4,0.004499997885432094
100,0.052348999997775536,0.11368600000423612,0.0073999999949592166,0.007511000003432855,0.0010959999781334773,7,0.007499998901039362
1000,0.05132279999816092,0.11364400000093156,0.0074010999996971805,0.007563600000139559,0.0010712000002968125,10,0.010700001439545304
10000,0.05217755000012403,0.11473287000007985,0.0075120400000741935,0.0076577100000577054,0.001087290000214125,14,0.014700002793688327
