molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
mol_454,C[C@H](CCC(=O)N[C@H](CC(=O)OCc1ccccc1)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,default,6.605264808671893,success,-2.03,,success,0.2847720673893244,613.79,4.07,5,7,153.39,10,1,-6.78,success
mol_455,NC(=O)C(F)(F)C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,default,5.558523744343084,success,-10.54,,success,0.4812103120285903,376.36,2.21,2,4,98.49,8,0,-9.49,success
mol_456,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2cc3ccccc3o2)C[C@H]1C(=O)NCC(F)(F)F,default,9.521503671795452,success,-2.27,,success,0.5357919726496211,695.74,3.21,4,9,140.4,12,1,-6.14,success
mol_457,CC(C)[C@H](NC(=O)C(O)(c1ccccc1)c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)C(O)(c1ccccc1)c1ccccc1)C(C)C,default,7.809453735071753,success,-0.06,,success,0.3194544779226461,919.13,5.32,8,8,197.32,21,3,-5.07,success
mol_458,CCC[C@]1(CCc2ccccc2)CC(=O)C([C@@H](CC)c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)=C(O)O1,default,6.853729446131055,success,-4.51,,success,0.3881441205109213,559.69,6.18,2,7,129.38,11,2,-6.45,success
mol_459,CC(C)[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N[C@H](C)NC(=O)OCc2ccccc2)C(C)C)Cc2ccc(cc2)OCCCNC1=O,default,7.385835461255186,success,-3.27,,success,0.39115295510459885,772.94,2.73,7,9,196.22,14,2,-6.25,success
mol_460,CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1,default,8.027101270785394,success,0.45,,success,0.33559177256544953,854.02,4.22,7,9,207.66,22,2,-5.51,success
mol_461,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSc1ccc(F)cc1)NS(C)(=O)=O,default,7.742484009434354,success,-5.19,,success,0.48487366745286287,615.79,3.7,4,6,124.6,13,1,-7.0,success
mol_462,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)O,default,7.044841460187506,success,-8.81,,success,0.5474034550156255,512.65,3.96,4,5,124.96,12,1,-7.36,success
mol_463,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,default,7.889171199462031,success,-9.49,,success,0.6404309332885025,547.67,2.38,3,8,140.42,11,1,-7.31,success
mol_464,CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)=C(O)O1,default,6.5242941176756135,success,-2.86,,success,0.3056911764729678,602.68,7.33,2,6,105.59,11,2,-6.1,success
mol_465,CC(C)(C)NC(=O)N(Cc1ccncc1)CC(O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,default,8.221165476199841,success,-3.45,,success,0.4667637896833201,639.76,2.7,5,7,179.64,13,1,-6.37,success
mol_466,Cc1cc(S[C@@H]2CCN(C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)COc3c(C)cccc3C)[C@H](C(=O)NC(C)(C)C)C2)nc(C)n1,default,7.813262045832826,success,-4.21,,success,0.4581051704860689,647.89,4.72,3,8,116.68,12,1,-6.64,success
mol_467,O=c1cc(-c2ccccc2)oc(O)c1C(CC1CCCC1)SC1CCCCC1,default,6.413808782330267,success,-7.53,,success,0.4521507318608555,398.57,6.7,1,4,50.44,6,1,-8.68,success
mol_468,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(OCC(=O)N2CCOCC2)cc1)C(=O)NC1c2ccccc2C[C@H]1O,default,9.327086400300637,success,-3.71,,success,0.5675905333583864,687.83,3.74,4,8,146.66,13,1,-6.42,success
mol_469,CC(C)[C@H](NC(=O)N(C)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)CCc1ccccn1)C(C)C,default,8.308950344294523,success,-2.54,,success,0.4437458620245436,823.05,3.77,6,8,189.12,21,2,-5.65,success
mol_470,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)N1CCOCC1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,default,8.732868687150033,success,-3.98,,success,0.5270723905958361,679.88,3.81,4,7,154.3,16,1,-6.28,success
mol_471,CC(C1=C(O)[C@@](CCc2ccccc2)(C(=O)NCc2ccc(C(C)(C)C)cc2)OC1=O)c1ccccc1,default,5.500973056682327,success,-7.47,,success,0.3740810880568606,497.64,6.14,2,4,75.63,8,1,-7.64,success
mol_472,CC1(C)CC2(CC(C)(C)c3cc(OS(=O)(=O)[O-])c(OS(=O)(=O)[O-])cc32)c2cc(OS(=O)(=O)[O-])c(OS(=O)(=O)[O-])cc21.[K+].[K+].[K+].[K+],default,5.733482815764076,success,-0.72,,success,0.16845690131367302,813.04,-11.29,0,16,265.72,8,2,-5.58,success
mol_473,N#Cc1cccc(OCCCc2c(O)c3ccccc3oc2=O)c1,default,5.221259343622134,success,-11.04,,success,0.4697716119685112,321.33,3.38,1,5,83.46,5,0,-9.43,success
mol_474,O=C(OC1COc2ccccc2C1)c1ccc(O)c(O)c1O,default,5.438987155230747,success,-10.53,,success,0.4709155962692289,302.28,1.96,3,6,96.22,2,0,-9.84,success
mol_475,CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,default,8.048436997319586,success,-6.75,,success,0.5623697497766321,549.71,5.43,3,8,122.16,9,2,-7.05,success
mol_476,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@]1(Cc2ccccc2)N=CC([C@@H]2CNC(=O)c3ccccc32)=C1O)O[C@H]1CCOC1,default,8.057980180690615,success,-4.53,,success,0.4891650150575513,595.7,4.27,4,7,129.48,10,1,-7.09,success
mol_477,CC[C@H](C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)c1cccc(C)c1OCOc1ccccc1)C(=O)NCc1nc2ccccc2[nH]1,default,7.359968440535077,success,-0.47,,success,0.2956640367112564,769.98,6.2,6,8,174.9,19,3,-4.84,success
mol_478,CC(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1cccnc1)C(C)C,default,8.71273870682744,success,-1.98,,success,0.45872822556895326,768.91,3.86,6,10,201.1,19,2,-5.64,success
