molecule_id,smiles,target_id,predicted_pIC50,molecular_weight,logp,h_bond_donors,h_bond_acceptors,lipinski_violations,passes_lipinski
CHEMBL4870217,COc1cccc(CNc2cc3c(=O)n4c(nc3cc2C)CCC4)c1O,Amyloid-beta A4 protein,5.3483,351.41,2.98,2,6,0,True
CHEMBL3672720,CC1=NC2(N=C1N)c1cc(-c3cncc(Cl)c3)ccc1CCC21CC1,Amyloid-beta A4 protein,5.7577,350.85,4.11,1,4,0,True
CHEMBL4226959,CN1CCN(Cc2ccccc2Nc2cc(CNCCN3CCCCC3)cc(CNCCN3CCCCC3)c2)CC1,Amyloid-beta A4 protein,5.7996,561.86,4.33,3,7,1,False
CHEMBL4874405,CCN(CCCCCCOc1ccc(C(=O)/C=C/c2ccc(N(C)C)cc2)c(O)c1)Cc1ccc(N(C)C)cc1,Amyloid-beta A4 protein,5.6099,543.75,6.88,1,6,2,False
CHEMBL200014,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,Amyloid-beta A4 protein,6.0033,621.87,4.9,4,5,1,False
CHEMBL1788121,[3H]N(c1ccc(-c2nc3ccc(O)cc3s2)cn1)C([3H])([3H])[3H],Amyloid-beta A4 protein,7.3399,265.35,3.11,2,5,0,True
CHEMBL5086270,Cc1cc(OC(F)F)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c1,Amyloid-beta A4 protein,5.6172,490.4,4.31,2,6,0,True
CHEMBL4864253,O=C(Nc1ccc2nc3n(c(=O)c2c1)CCC3)c1cc2ccccc2o1,Amyloid-beta A4 protein,5.6226,345.36,3.34,1,5,0,True
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,Amyloid-beta A4 protein,5.5249,478.13,6.4,2,5,1,False
CHEMBL4087140,COc1ccc(CCNc2nc(Cl)nc3ccccc23)cc1OC,Amyloid-beta A4 protein,5.3648,343.81,3.96,1,5,0,True
CHEMBL4861569,CN(Cc1ccccc1)S(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Amyloid-beta A4 protein,5.573,434.9,4.06,2,5,0,True
CHEMBL4444043,Fc1ccc(C2C=C(c3cccc4ccccc34)Nc3nncn32)cc1,Amyloid-beta A4 protein,5.8331,342.38,4.63,1,4,0,True
CHEMBL258632,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3cccc([N+](=O)[O-])c3)n2)ccc1O,Amyloid-beta A4 protein,5.6895,485.5,5.55,2,8,1,False
CHEMBL2408099,COc1ccc(C(=O)/C=C/c2ccc(C(=O)N3CCN(C)CC3)cc2)c(O)c1,Amyloid-beta A4 protein,5.5598,380.44,2.68,1,5,0,True
CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,Amyloid-beta A4 protein,4.5699,366.36,5.12,2,2,1,False
CHEMBL9323,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,Amyloid-beta A4 protein,4.9134,288.25,1.48,4,6,0,True
CHEMBL1208903,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1,Amyloid-beta A4 protein,5.7928,566.52,5.74,4,10,2,False
CHEMBL3087679,C[C@@H](C(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)[C@H](C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,Amyloid-beta A4 protein,5.2199,819.01,6.28,6,8,3,False
CHEMBL3981143,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccco2)ccc1O,Amyloid-beta A4 protein,5.2881,312.32,3.25,1,5,0,True
CHEMBL204443,CCC[C@H](C(=O)NC/C=C/Cc1ccccc1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,Amyloid-beta A4 protein,5.6201,637.87,7.47,2,4,2,False
CHEMBL3672726,CO[C@H]1CC[C@]2(CCc3ccc(-c4cncc(Cl)c4)cc3C23N=C(C)C(N)=N3)CC1,Amyloid-beta A4 protein,5.7909,422.96,4.91,1,5,0,True
CHEMBL410263,O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(/N=N/c3ccccc3)c(O)ccc2c1.[Na+].[Na+],Amyloid-beta A4 protein,5.4359,452.38,-3.22,1,9,0,True
CHEMBL3672730,COC1CCC2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1,Amyloid-beta A4 protein,5.8707,446.98,5.38,1,5,1,False
CHEMBL3629737,CC1(C)OCC2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,Amyloid-beta A4 protein,6.0095,498.98,5.25,0,5,1,False
CHEMBL3330749,COc1ccc(-c2ccc(-c3ccc(C=O)s3)s2)cc1,Amyloid-beta A4 protein,6.9936,300.4,4.96,0,4,0,True
CHEMBL5189854,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3ccc([N+](=O)[O-])cc3)n2)ccc1O,Amyloid-beta A4 protein,5.8276,485.5,5.55,2,8,1,False
CHEMBL4061746,CC(=O)Nc1nc(NCc2ccccc2)c2ccccc2n1,Amyloid-beta A4 protein,5.254,292.34,3.2,2,4,0,True
CHEMBL3941787,O=c1[nH]cccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,Amyloid-beta A4 protein,5.8522,586.03,3.64,1,7,1,False
CHEMBL4751082,O=C(NO)c1ccc(Nc2c3ccccc3nc3ccc(OC(F)(F)F)cc23)cc1,Amyloid-beta A4 protein,5.9023,413.36,5.15,3,5,1,False
CHEMBL3904071,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cnccn1,Amyloid-beta A4 protein,5.8672,571.02,3.74,0,8,1,False
CHEMBL4064773,CNc1nc(NCCc2ccccc2)c2ccccc2n1,Amyloid-beta A4 protein,5.6133,278.36,3.33,2,4,0,True
CHEMBL3942223,C[P@]1(=O)OC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,Amyloid-beta A4 protein,5.9563,552.45,5.7,0,6,2,False
CHEMBL2063874,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(N)c1,Amyloid-beta A4 protein,5.3086,296.78,3.03,2,3,0,True
CHEMBL3589108,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1Oc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,Amyloid-beta A4 protein,5.8694,552.49,5.86,4,10,2,False
CHEMBL4763981,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,Amyloid-beta A4 protein,5.7,559.71,6.12,2,6,2,False
CHEMBL3653401,C[C@@]1(c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,Amyloid-beta A4 protein,5.9144,489.27,4.16,2,5,0,True
CHEMBL1511811,COc1cc(/C=C/C(=O)N2CCOCC2)ccc1OCc1ccccc1,Amyloid-beta A4 protein,5.5233,353.42,3.15,0,4,0,True
CHEMBL3984227,Nc1ncccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,Amyloid-beta A4 protein,5.7776,585.05,3.93,1,8,1,False
CHEMBL4740154,C#CCN(C)CCCn1ccc(=O)c(O)c1C,Amyloid-beta A4 protein,6.0715,234.3,0.82,1,4,0,True
CHEMBL4516540,CCN(CCCNC(=O)c1cc(O)c(C(=O)NCCCN(CC)Cc2ccccc2)cc1O)Cc1ccccc1,Amyloid-beta A4 protein,5.2026,546.71,4.38,4,6,1,False
CHEMBL489792,COc1ccc2oc(/C=C/c3ccc(N(C)C)c(OC)c3)cc2c1,Amyloid-beta A4 protein,6.5942,323.39,4.69,0,4,0,True
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,Amyloid-beta A4 protein,5.4071,368.39,3.37,2,6,0,True
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Amyloid-beta A4 protein,4.7197,318.24,1.69,6,8,1,False
CHEMBL4088780,Fc1ccc(Nc2ccc3c(C4CCNCC4)c[nH]c3c2)cc1F,Amyloid-beta A4 protein,6.0803,327.38,4.66,3,2,0,True
CHEMBL236191,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(C(C)(C)CO)CC3)CC2)N1S(=O)(=O)c1cc(F)cc(F)c1,Amyloid-beta A4 protein,7.3577,529.65,3.34,1,6,1,False
CHEMBL4114267,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)OCC2(F)F)n1,Amyloid-beta A4 protein,5.8718,404.35,2.24,2,7,0,True
CHEMBL3814189,Nc1nc(NCc2ccc(F)cc2)nc2ccccc12,Amyloid-beta A4 protein,5.5243,268.3,2.96,2,4,0,True
CHEMBL5194732,O=C(CCN1CCOCC1)Nc1n[nH]c2ncccc12,Amyloid-beta A4 protein,5.418,275.31,0.62,2,5,0,True
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,Amyloid-beta A4 protein,5.3542,180.16,1.2,3,3,0,True
CHEMBL4876605,COc1cc(/C=C/C(=O)N2CC(C(=O)N3CC(F)(F)C3)C2)ccc1OCc1ccccc1,Amyloid-beta A4 protein,5.6858,442.46,3.22,0,4,0,True
CHEMBL2381384,COc1ccc2cc(C(=O)CN3CCN(c4ncccn4)CC3)c(=O)oc2c1,Amyloid-beta A4 protein,5.4529,380.4,1.6,0,8,0,True
CHEMBL3814610,Nc1nc(NCCc2ccccc2)nc2ccccc12,Amyloid-beta A4 protein,5.4932,264.33,2.87,2,4,0,True
CHEMBL4848389,COc1ccc(C(O)C(F)(F)F)c(NCc2cscn2)c1,Amyloid-beta A4 protein,5.8937,318.32,3.36,2,5,0,True
CHEMBL2425961,CCc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,Amyloid-beta A4 protein,5.2704,363.42,2.72,2,5,0,True
CHEMBL4439214,CCOc1cc(CNc2ccccc2)ccc1Oc1ccnc2cc(Cl)ccc12,Amyloid-beta A4 protein,5.498,404.9,6.69,1,4,1,False
CHEMBL2048310,CNc1ncc(-c2cc3cc(O)ccc3o2)cc1F,Amyloid-beta A4 protein,7.4199,258.25,3.38,2,4,0,True
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,Amyloid-beta A4 protein,5.4964,305.5,3.2,1,2,0,True
CHEMBL4072261,N#Cc1c[nH]c2nc(Nc3ccc4c(C5CCNCC5)c[nH]c4c3)ccc12,Amyloid-beta A4 protein,6.1495,356.43,4.13,4,4,0,True
CHEMBL4059796,O=c1cc(/C=C/c2cccc(F)c2)[nH]cc1O,Amyloid-beta A4 protein,6.038,231.23,2.39,2,2,0,True
CHEMBL4226906,O=C(NCCN1CCCCC1)c1cc(C(=O)NCCN2CCCCC2)cc(-c2ccccc2CN2CCOCC2)c1,Amyloid-beta A4 protein,5.4599,561.77,3.62,2,6,1,False
CHEMBL4465480,CCN(CC)CCCCC(C)Nc1c2ccccc2nc2c(C(=O)NCCCO/N=C/C(=O)NCCCC[C@@H]3NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C3=O)cccc12,Amyloid-beta A4 protein,5.6994,1518.92,1.65,12,20,3,False
CHEMBL4860315,CCN(CC)C(=O)/C=C/c1ccc(OCc2ccccc2)c(OC)c1,Amyloid-beta A4 protein,5.4957,339.44,4.16,0,3,0,True
CHEMBL4796066,O=C(NO)c1ccc(Nc2c3ccccc3nc3ccc(Br)cc23)cc1,Amyloid-beta A4 protein,6.1122,408.26,5.01,3,4,1,False
CHEMBL3740688,CN1C(=O)[C@@]23CCC(=O)N2C[C@@]12C[C@@]1(C(=O)Nc4c1ccc1c4C=CC(C)(C)O1)C(C)(C)[C@@H]2C3,Amyloid-beta A4 protein,4.4931,461.56,3.08,1,4,0,True
CHEMBL3813788,COc1ccc(CNc2nc(N)nc3ccccc23)cc1,Amyloid-beta A4 protein,5.6019,280.33,2.83,2,5,0,True
CHEMBL425031,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)Nc2ccc(F)cc2)c1,Amyloid-beta A4 protein,5.6462,527.68,5.26,3,4,2,False
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,Amyloid-beta A4 protein,6.1284,228.25,2.97,3,3,0,True
CHEMBL2425957,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1Cc1ccccc1,Amyloid-beta A4 protein,5.1781,335.36,2.27,2,5,0,True
